year,Typhoon,municipality,province,windspeed,rainfall24,rainfall6,rainfallaverage,area,yield,areayieldrataio,percentageofarea,darea,yielda,fgprice,dctrice
2018,Mangkhut,Alicia,Zamboanga Sibugay,0,0.880555556,0.220138889,0.550347223,668,3.27,204.2813456,0.45413782,303.3640641,1.485030673,20.79,8496833.12
2018,Mangkhut,Alilem,Ilocos Sur,18.35219774,3.0671875,0.766796875,1.916992188,36,6.6,5.454545455,0.719841554,25.91429593,4.750954254,20.79,2322083.29
2018,Mangkhut,Alimodian,Iloilo,0,2.120138889,0.530034722,1.325086806,832,2.3,361.7391304,0.078129813,65.00400423,0.179698569,20.79,220314.08
2018,Mangkhut,Alitagtag,Batangas,5.972322904,1.894791667,0.473697917,1.184244792,0,0,0,0.217352892,0,0,20.79,0
2018,Mangkhut,Allacapan,Cagayan,70.45704495,5.916319444,1.479079861,3.697699653,7685,4.89,1571.574642,0.529098902,4066.125062,2.587293631,20.79,198419331.7
2018,Mangkhut,Allen,Northern Samar,9.467758285,3.075,0.76875,1.921875,259,2.44,106.147541,0.19041299,49.3169643,0.464607695,20.79,432155.72
2018,Mangkhut,Almagro,Samar,0,2.546354167,0.636588542,1.591471354,0,0,0,0.23223725,0,0,20.79,0
2018,Mangkhut,Almeria,Biliran,0,1.8734375,0.468359375,1.170898438,222,4.2,52.85714286,0.10814155,24.00742421,0.454194512,20.79,205657.7
2018,Mangkhut,Aloguinsan,Cebu,0,0.6734375,0.168359375,0.420898438,0,0,0,0.117404012,0,0,20.79,0
2018,Mangkhut,Aloran,Misamis Occidental,0,0.429583333,0.107395833,0.268489583,743,4.24,175.2358491,0.144168977,107.1175501,0.611276463,20.79,1234968.37
2018,Mangkhut,Altavas,Aklan,0,1.600520833,0.400130208,1.000325521,750,2.44,307.3770492,0.098490533,73.86789943,0.240316899,20.79,334809.36
2018,Mangkhut,Alubijid,Misamis Oriental,0,0.376666667,0.094166667,0.235416667,214,2.73,78.38827839,0.153555835,32.86094859,0.419207428,20.79,259816.42
2018,Mangkhut,Amadeo,Cavite,6.836476844,1.684027778,0.421006945,1.052517361,0,0,0,0.151769603,0,0,20.79,0
2018,Mangkhut,Ambaguio,Nueva Vizcaya,15.11635478,3.122321429,0.780580357,1.951450893,11.92,3.26,3.656441718,0.52748296,6.287596878,1.719594448,20.79,203923.96
2018,Mangkhut,Amlan,Negros Oriental,0,1.019444444,0.254861111,0.637152778,57,0,0,0.089757746,5.116191509,0,20.79,0
2018,Mangkhut,Ampatuan,Maguindanao,0,0.537847222,0.134461806,0.336154514,4005,2.72,1472.426471,0.175381377,702.4024156,0.477037346,20.79,6319691.92
2018,Mangkhut,Amulung,Cagayan,62.30927579,6.10390625,1.525976563,3.814941406,7392,4.49,1646.325167,0.557921851,4124.15832,2.505069109,20.79,194855456.3
2018,Mangkhut,Anahawan,Southern Leyte,0,0.643055556,0.160763889,0.401909723,4,4.14,0.966183575,0.135387374,0.541549494,0.560503727,20.79,5724.98
2018,Mangkhut,Anao,Tarlac,9.637285682,2.05,0.5125,1.28125,931,4.55,204.6153846,0.397394737,369.9745,1.808146053,20.79,12617195.44
2018,Mangkhut,Anda,Pangasinan,12.86607116,4.059895833,1.014973958,2.537434896,26,4.25,6.117647059,0.307619226,7.998099872,1.30738171,20.79,197218.09
2018,Mangkhut,Anda,Bohol,0,0.591666667,0.147916667,0.369791667,37,2.43,15.22633745,0.307619226,11.38191136,0.747514719,20.79,160469.49
2018,Mangkhut,Angadanan,Isabela,23.16373971,5.155952381,1.288988095,3.222470238,3156.68,4.25,742.7482353,0.397862137,1255.923451,1.690914082,20.79,40053663.19
2018,Mangkhut,Angat,Bulacan,8.864463791,3.434895833,0.858723958,2.146809896,1024.28,4.22,242.7203791,0.246132396,252.1084903,1.03867871,20.79,4938854.51
2018,Mangkhut,Angeles City,Pampanga,8.368046896,5.908333333,1.477083333,3.692708333,47.52,4.09,11.61858191,0.279691253,13.29092834,1.143937225,20.79,286757.67
2018,Mangkhut,Angono,Rizal,8.121839296,2.991666667,0.747916667,1.869791667,0,0,0,0.265935941,0,0,20.79,0
2018,Mangkhut,Anilao,Iloilo,0,1.2375,0.309375,0.7734375,803,2.91,275.9450172,0.086668161,69.59453295,0.252204347,20.79,331043.62
2018,Mangkhut,Anini0Y,Antique,0,1.230208333,0.307552083,0.768880208,360,2.89,124.567474,0.160092425,57.63327292,0.462667108,20.79,502920.62
2018,Mangkhut,Antequera,Bohol,0,0.5296875,0.132421875,0.331054688,51,2.53,20.15810277,0.174464841,8.897706868,0.441396047,20.79,74073.7
2018,Mangkhut,Antipas,Cotabato,0,0.236666667,0.059166667,0.147916667,612,3.79,161.4775726,0.195390195,119.5787993,0.740528839,20.79,1670143.14
